,filebasename,structtype,event,freq
157,20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc000_predict.tif,WT,Fission,0.1111111111111111
158,20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc000_predict.tif,WT,Fusion,0.2222222222222222
159,20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc001_predict.tif,WT,None,0.896551724137931
160,20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc001_predict.tif,WT,Fission,0.034482758620689655
161,20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc001_predict.tif,WT,Fusion,0.06896551724137931
162,20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc003_predict.tif,WT,None,0.8484848484848485
163,20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc003_predict.tif,WT,Fission,0.06060606060606061
164,20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc003_predict.tif,WT,Fusion,0.09090909090909091
165,20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc005_predict.tif,WT,None,0.8285714285714286
166,20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc005_predict.tif,WT,Fission,0.05714285714285714
167,20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc005_predict.tif,WT,Fusion,0.11428571428571428
168,20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc008_predict.tif,WT,None,0.7980769230769231
169,20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc008_predict.tif,WT,Fission,0.0673076923076923
170,20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc008_predict.tif,WT,Fusion,0.1346153846153846
171,20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc011_predict.tif,WT,None,0.881578947368421
172,20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc011_predict.tif,WT,Fission,0.039473684210526314
173,20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc011_predict.tif,WT,Fusion,0.07894736842105263
174,20220518_y200_d5mi10s_009_D3D_3DALIGN_predictc001_predict.tif,WT,None,0.8712871287128713
175,20220518_y200_d5mi10s_009_D3D_3DALIGN_predictc001_predict.tif,WT,Fission,0.04950495049504951
176,20220518_y200_d5mi10s_009_D3D_3DALIGN_predictc001_predict.tif,WT,Fusion,0.07920792079207921
177,20220518_y200_d5mi10s_009_D3D_3DALIGN_predictc002_predict.tif,WT,None,0.8759124087591241
178,20220518_y200_d5mi10s_009_D3D_3DALIGN_predictc002_predict.tif,WT,Fission,0.029197080291970802
179,20220518_y200_d5mi10s_009_D3D_3DALIGN_predictc002_predict.tif,WT,Fusion,0.0948905109489051
180,20220518_y200_d5mi10s_009_D3D_3DALIGN_predictc003_predict.tif,WT,None,1.0
181,20220518_y200_d5mi10s_009_D3D_3DALIGN_predictc003_predict.tif,WT,Fission,0.0
182,20220518_y200_d5mi10s_009_D3D_3DALIGN_predictc003_predict.tif,WT,Fusion,0.0
183,20220518_y200_d5mi10s_009_D3D_3DALIGN_predictc004_predict.tif,WT,None,0.9019607843137255
184,20220518_y200_d5mi10s_009_D3D_3DALIGN_predictc004_predict.tif,WT,Fission,0.0196078431372549
185,20220518_y200_d5mi10s_009_D3D_3DALIGN_predictc004_predict.tif,WT,Fusion,0.0784313725490196
186,20220518_y200_d5mi10s_009_D3D_3DALIGN_predictc009_predict.tif,WT,None,1.0
187,20220518_y200_d5mi10s_009_D3D_3DALIGN_predictc009_predict.tif,WT,Fission,0.0
188,20220518_y200_d5mi10s_009_D3D_3DALIGN_predictc009_predict.tif,WT,Fusion,0.0
189,20220518_y200_d5mi10s_009_D3D_3DALIGN_predictc013_predict.tif,WT,None,1.0
190,20220518_y200_d5mi10s_009_D3D_3DALIGN_predictc013_predict.tif,WT,Fission,0.0
191,20220518_y200_d5mi10s_009_D3D_3DALIGN_predictc013_predict.tif,WT,Fusion,0.0
192,20220518_y200_d5mi10s_009_D3D_3DALIGN_predictc015_predict.tif,WT,None,1.0
193,20220518_y200_d5mi10s_009_D3D_3DALIGN_predictc015_predict.tif,WT,Fission,0.0
194,20220518_y200_d5mi10s_009_D3D_3DALIGN_predictc015_predict.tif,WT,Fusion,0.0
195,20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc001_predict.tif,WT,None,0.8153846153846154
196,20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc001_predict.tif,WT,Fission,0.03076923076923077
197,20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc001_predict.tif,WT,Fusion,0.15384615384615385
198,20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc005_predict.tif,WT,None,0.9230769230769231
199,20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc005_predict.tif,WT,Fission,0.046153846153846156
200,20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc005_predict.tif,WT,Fusion,0.03076923076923077
201,20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc008_predict.tif,WT,None,0.9090909090909091
202,20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc008_predict.tif,WT,Fission,0.030303030303030304
203,20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc008_predict.tif,WT,Fusion,0.06060606060606061
204,20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc009_predict.tif,WT,None,0.6122448979591837
205,20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc009_predict.tif,WT,Fission,0.14285714285714285
206,20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc009_predict.tif,WT,Fusion,0.24489795918367346
207,20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc010_predict.tif,WT,None,0.9891304347826086
208,20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc010_predict.tif,WT,Fission,0.010869565217391304
209,20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc010_predict.tif,WT,Fusion,0.0
210,20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc011_predict.tif,WT,None,0.8444444444444444
211,20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc011_predict.tif,WT,Fission,0.044444444444444446
212,20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc011_predict.tif,WT,Fusion,0.1111111111111111
213,20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc013_predict.tif,WT,None,0.6730769230769231
214,20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc013_predict.tif,WT,Fission,0.09615384615384616
215,20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc013_predict.tif,WT,Fusion,0.23076923076923078
216,20220526_y200_d5mi10s_001_D3D_3DALIGN_predictc000_predict.tif,WT,None,0.8072289156626506
217,20220526_y200_d5mi10s_001_D3D_3DALIGN_predictc000_predict.tif,WT,Fission,0.07228915662650602
218,20220526_y200_d5mi10s_001_D3D_3DALIGN_predictc000_predict.tif,WT,Fusion,0.12048192771084337
219,20220526_y200_d5mi10s_001_D3D_3DALIGN_predictc002_predict.tif,WT,None,0.8369565217391305
220,20220526_y200_d5mi10s_001_D3D_3DALIGN_predictc002_predict.tif,WT,Fission,0.05434782608695652
221,20220526_y200_d5mi10s_001_D3D_3DALIGN_predictc002_predict.tif,WT,Fusion,0.10869565217391304
222,20220526_y200_d5mi10s_001_D3D_3DALIGN_predictc003_predict.tif,WT,None,0.8934426229508197
223,20220526_y200_d5mi10s_001_D3D_3DALIGN_predictc003_predict.tif,WT,Fission,0.03278688524590164
224,20220526_y200_d5mi10s_001_D3D_3DALIGN_predictc003_predict.tif,WT,Fusion,0.07377049180327869
225,20220526_y200_d5mi10s_001_D3D_3DALIGN_predictc004_predict.tif,WT,None,0.9285714285714286
226,20220526_y200_d5mi10s_001_D3D_3DALIGN_predictc004_predict.tif,WT,Fission,0.03571428571428571
227,20220526_y200_d5mi10s_001_D3D_3DALIGN_predictc004_predict.tif,WT,Fusion,0.03571428571428571
228,20220526_y200_d5mi10s_002_D3D_3DALIGN_predictc001_predict.tif,WT,None,1.0
229,20220526_y200_d5mi10s_002_D3D_3DALIGN_predictc001_predict.tif,WT,Fission,0.0
230,20220526_y200_d5mi10s_002_D3D_3DALIGN_predictc001_predict.tif,WT,Fusion,0.0
231,20220526_y200_d5mi10s_002_D3D_3DALIGN_predictc003_predict.tif,WT,None,0.9841269841269841
232,20220526_y200_d5mi10s_002_D3D_3DALIGN_predictc003_predict.tif,WT,Fission,0.015873015873015872
233,20220526_y200_d5mi10s_002_D3D_3DALIGN_predictc003_predict.tif,WT,Fusion,0.0
234,20220526_y200_d5mi10s_002_D3D_3DALIGN_predictc009_predict.tif,WT,None,0.9805194805194806
235,20220526_y200_d5mi10s_002_D3D_3DALIGN_predictc009_predict.tif,WT,Fission,0.006493506493506494
236,20220526_y200_d5mi10s_002_D3D_3DALIGN_predictc009_predict.tif,WT,Fusion,0.012987012987012988
237,20220526_y200_d5mi10s_003_D3D_3DALIGN_predictc001_predict.tif,WT,None,0.8839285714285714
238,20220526_y200_d5mi10s_003_D3D_3DALIGN_predictc001_predict.tif,WT,Fission,0.044642857142857144
239,20220526_y200_d5mi10s_003_D3D_3DALIGN_predictc001_predict.tif,WT,Fusion,0.07142857142857142
240,20220526_y200_d5mi10s_003_D3D_3DALIGN_predictc004_predict.tif,WT,None,0.9883040935672515
241,20220526_y200_d5mi10s_003_D3D_3DALIGN_predictc004_predict.tif,WT,Fission,0.011695906432748537
242,20220526_y200_d5mi10s_003_D3D_3DALIGN_predictc004_predict.tif,WT,Fusion,0.0
243,20220526_y200_d5mi10s_003_D3D_3DALIGN_predictc007_predict.tif,WT,None,0.9391304347826087
244,20220526_y200_d5mi10s_003_D3D_3DALIGN_predictc007_predict.tif,WT,Fission,0.02608695652173913
245,20220526_y200_d5mi10s_003_D3D_3DALIGN_predictc007_predict.tif,WT,Fusion,0.034782608695652174
246,20220526_y200_d5mi10s_003_D3D_3DALIGN_predictc008_predict.tif,WT,None,0.8285714285714286
247,20220526_y200_d5mi10s_003_D3D_3DALIGN_predictc008_predict.tif,WT,Fission,0.05714285714285714
248,20220526_y200_d5mi10s_003_D3D_3DALIGN_predictc008_predict.tif,WT,Fusion,0.11428571428571428
249,20220526_y200_d5mi10s_003_D3D_3DALIGN_predictc009_predict.tif,WT,None,0.9183673469387755
250,20220526_y200_d5mi10s_003_D3D_3DALIGN_predictc009_predict.tif,WT,Fission,0.04081632653061224
251,20220526_y200_d5mi10s_003_D3D_3DALIGN_predictc009_predict.tif,WT,Fusion,0.04081632653061224
252,20220526_y200_d5mi10s_004_D3D_3DALIGN_predictc000_predict.tif,WT,None,0.954248366013072
253,20220526_y200_d5mi10s_004_D3D_3DALIGN_predictc000_predict.tif,WT,Fission,0.0196078431372549
254,20220526_y200_d5mi10s_004_D3D_3DALIGN_predictc000_predict.tif,WT,Fusion,0.026143790849673203
