"timestamp","mNID","mMID","mHasAgg","mAggList","c1ID","c1MID","c1HasAgg","c1AggList","c2ID","c2MID","c2HasAgg","c2AggList","fpos2c1","fpos2c2","m_fpos2periph","m_agg2fpos","m_agg2periph","m_c1_agg2fpos","m_c2_agg2fpos","m_len","m_c1_len","m_c2_len","fileID","negneg","posneg","pospos","Type","fisRatio","fisRatio2"
29,172,144,TRUE,"[85,84]",175,146,TRUE,"[88,87]",178,149,FALSE,"[]",0.524976189936267,0.43081318457076,3.495381924516,1.04518856467844,4.42224483952616,0.53254833995939,NA,7.34476533333129,3.41674318409624,3.40919963929597,"20210329_Tom70GFPMTSFlcMch_006y010",FALSE,TRUE,FALSE,"DUMP+/-",0.475901103150785,0.230188820362058
9,30,31,TRUE,"[35,32,34,33]",34,35,TRUE,"[39,36,38,37]",32,33,FALSE,"[]",0.08,0.08,1.83146273465814,2.27832564966829,4.06292546931628,2.27832564966829,NA,12.2408278876374,10.508279547678,2.50360609910639,"20210329_Tom70GFPMTSFlcMch_006y015",FALSE,TRUE,FALSE,"DUMP+/-",0.149619188462556,0.554365684217995
2,5,4,TRUE,"[2]",8,7,TRUE,"[4]",7,6,FALSE,"[]",0.16,0.08,5.31673668540377,0.226274169979695,5.46929152405563,0.193137084989848,NA,8.67298950792169,3.28369798386606,5.90309624145066,"20210329_Tom70GFPMTSFlcMch_007y001",FALSE,TRUE,FALSE,"DUMP+/-",0.613022381792068,0.0408215274844598
5,14,12,TRUE,"[9]",17,15,TRUE,"[11]",15,13,FALSE,"[]",0.506359556046887,0.5,5.35615443906578,4.91448008873407,10.1769086977795,4.69438820397441,NA,12.4285487032645,6.63230887813157,5.10292546931628,"20210329_Tom70GFPMTSFlcMch_007y001",FALSE,TRUE,FALSE,"DUMP+/-",0.430955742858288,0.478498195552757
7,20,18,TRUE,"[13]",26,22,TRUE,"[15]",25,21,FALSE,"[]",0.577234787586473,0.16,1.63264022471905,0.7057773097089,0.833137084989847,0.16,NA,10.3027778922481,2.051057759147,8.26385699885689,"20210329_Tom70GFPMTSFlcMch_007y001",FALSE,TRUE,FALSE,"DUMP+/-",0.158466021668531,0.301818344807081
24,102,103,TRUE,"[47,46]",107,108,TRUE,"[49,48]",105,106,FALSE,"[]",0,0.32,10.0508117986267,1.19146273465814,4.05095937569487,1.27146273465814,NA,12.2744049003482,10.6765891083356,1.69841753442795,"20210329_Tom70GFPMTSFlcMch_007y002",FALSE,TRUE,FALSE,"DUMP+/-",0.818843103207522,0.105980576362069
4,8,9,TRUE,"[9,8]",11,12,TRUE,"[12,11]",10,11,FALSE,"[]",0.329848450049413,0,5.43506233507206,0.739411254969543,3.63171889285971,0.466274169979695,NA,12.6666905834135,5.24192525008221,6.51388484501115,"20210329_Tom70GFPMTSFlcMch_007y006",FALSE,TRUE,FALSE,"DUMP+/-",0.42908305837904,0.119752922121505
6,13,14,TRUE,"[15,14]",16,17,TRUE,"[18,17]",15,16,FALSE,"[]",0.113137084989848,0.08,6.16779444455077,0.499411254969543,3.79171889285971,0.386274169979695,NA,12.6486405880242,6.17407511322294,7.50669584186458,"20210329_Tom70GFPMTSFlcMch_007y006",FALSE,TRUE,FALSE,"DUMP+/-",0.487625085211961,0.0749056317559655
20,42,43,TRUE,"[52]",45,46,TRUE,"[54]",44,45,FALSE,"[]",0.524976189936267,0.5,9.7442684730605,5.94075425871377,3.04535933681283,5.55497694900487,NA,11.0433536398936,10.5775763301847,1.3452804494381,"20210329_Tom70GFPMTSFlcMch_007y006",FALSE,TRUE,FALSE,"DUMP+/-",0.88236497632927,0.378753308828757
23,51,52,TRUE,"[58]",55,56,TRUE,"[60]",53,54,FALSE,"[]",0.08,0.593632883186233,8.11328960128821,3.94274169979695,3.19907866814066,3.60333044482741,NA,9.79229588074662,7.97329609998069,1.21891439469875,"20210329_Tom70GFPMTSFlcMch_007y006",FALSE,TRUE,FALSE,"DUMP+/-",0.828538036441522,0.327034792904201
