"X","mitoType","freq","placeholder"
400,"DUMP+",68.4745762711864,"X"
401,"DUMP-",31.5254237288136,"X"
402,"DUMP+",72.2033898305085,"X"
403,"DUMP-",27.7966101694915,"X"
404,"DUMP+",70.8474576271186,"X"
405,"DUMP-",29.1525423728814,"X"
406,"DUMP+",68.135593220339,"X"
407,"DUMP-",31.864406779661,"X"
408,"DUMP+",69.4915254237288,"X"
409,"DUMP-",30.5084745762712,"X"
410,"DUMP+",71.864406779661,"X"
411,"DUMP-",28.135593220339,"X"
412,"DUMP+",70.1694915254237,"X"
413,"DUMP-",29.8305084745763,"X"
414,"DUMP+",74.5762711864407,"X"
415,"DUMP-",25.4237288135593,"X"
416,"DUMP+",72.5423728813559,"X"
417,"DUMP-",27.4576271186441,"X"
418,"DUMP+",67.4576271186441,"X"
419,"DUMP-",32.5423728813559,"X"
420,"DUMP+",72.2033898305085,"X"
421,"DUMP-",27.7966101694915,"X"
422,"DUMP+",70.8474576271186,"X"
423,"DUMP-",29.1525423728814,"X"
424,"DUMP+",72.2033898305085,"X"
425,"DUMP-",27.7966101694915,"X"
426,"DUMP+",68.8135593220339,"X"
427,"DUMP-",31.1864406779661,"X"
428,"DUMP+",70.8474576271186,"X"
429,"DUMP-",29.1525423728814,"X"
430,"DUMP+",72.5423728813559,"X"
431,"DUMP-",27.4576271186441,"X"
432,"DUMP+",71.864406779661,"X"
433,"DUMP-",28.135593220339,"X"
434,"DUMP+",71.864406779661,"X"
435,"DUMP-",28.135593220339,"X"
436,"DUMP+",69.8305084745763,"X"
437,"DUMP-",30.1694915254237,"X"
438,"DUMP+",69.8305084745763,"X"
439,"DUMP-",30.1694915254237,"X"
440,"DUMP+",68.8135593220339,"X"
441,"DUMP-",31.1864406779661,"X"
442,"DUMP+",70.8474576271186,"X"
443,"DUMP-",29.1525423728814,"X"
444,"DUMP+",68.135593220339,"X"
445,"DUMP-",31.864406779661,"X"
446,"DUMP+",71.864406779661,"X"
447,"DUMP-",28.135593220339,"X"
448,"DUMP+",66.1016949152542,"X"
449,"DUMP-",33.8983050847458,"X"
450,"DUMP+",71.864406779661,"X"
451,"DUMP-",28.135593220339,"X"
452,"DUMP+",72.8813559322034,"X"
453,"DUMP-",27.1186440677966,"X"
454,"DUMP+",69.4915254237288,"X"
455,"DUMP-",30.5084745762712,"X"
456,"DUMP+",71.1864406779661,"X"
457,"DUMP-",28.8135593220339,"X"
458,"DUMP+",67.7966101694915,"X"
459,"DUMP-",32.2033898305085,"X"
460,"DUMP+",71.5254237288136,"X"
461,"DUMP-",28.4745762711864,"X"
462,"DUMP+",72.5423728813559,"X"
463,"DUMP-",27.4576271186441,"X"
464,"DUMP+",74.9152542372881,"X"
465,"DUMP-",25.0847457627119,"X"
466,"DUMP+",66.7796610169491,"X"
467,"DUMP-",33.2203389830508,"X"
468,"DUMP+",68.135593220339,"X"
469,"DUMP-",31.864406779661,"X"
470,"DUMP+",74.2372881355932,"X"
471,"DUMP-",25.7627118644068,"X"
472,"DUMP+",72.5423728813559,"X"
473,"DUMP-",27.4576271186441,"X"
474,"DUMP+",70.5084745762712,"X"
475,"DUMP-",29.4915254237288,"X"
476,"DUMP+",74.5762711864407,"X"
477,"DUMP-",25.4237288135593,"X"
478,"DUMP+",66.1016949152542,"X"
479,"DUMP-",33.8983050847458,"X"
