"filebasename","normalized_bias","placeholder"
"20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc009_predict.tif",1,"x"
"20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc009_predict.tif",0.680162318186466,"x"
"20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc009_predict.tif",0.132216521365829,"x"
"20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc009_predict.tif",0.774702758472458,"x"
"20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc009_predict.tif",0,"x"
"20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc009_predict.tif",0.765836303691022,"x"
"20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc009_predict.tif",0.364046166282291,"x"
"20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc010_predict.tif",0.51126019404212,"x"
"20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc011_predict.tif",1,"x"
"20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc011_predict.tif",0.370010735811475,"x"
"20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc011_predict.tif",0.587328636922216,"x"
"20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc013_predict.tif",0.282842067524947,"x"
"20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc013_predict.tif",0.166080102574328,"x"
"20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc013_predict.tif",0.128978700638891,"x"
"20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc013_predict.tif",0.327975127859527,"x"
"20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc013_predict.tif",0.0475369481638907,"x"
"20220526_y200_d5mi10s_001_D3D_3DALIGN_predictc000_predict.tif",0.671967351088867,"x"
"20220526_y200_d5mi10s_001_D3D_3DALIGN_predictc000_predict.tif",0.393772755958546,"x"
"20220526_y200_d5mi10s_001_D3D_3DALIGN_predictc000_predict.tif",0.471685808128754,"x"
"20220526_y200_d5mi10s_001_D3D_3DALIGN_predictc000_predict.tif",0.54263091756234,"x"
"20220526_y200_d5mi10s_001_D3D_3DALIGN_predictc000_predict.tif",1,"x"
"20220526_y200_d5mi10s_001_D3D_3DALIGN_predictc000_predict.tif",0,"x"
"20220526_y200_d5mi10s_001_D3D_3DALIGN_predictc002_predict.tif",0.544545672476632,"x"
"20220526_y200_d5mi10s_001_D3D_3DALIGN_predictc002_predict.tif",0.501334929318293,"x"
"20220526_y200_d5mi10s_001_D3D_3DALIGN_predictc002_predict.tif",0.557240874399795,"x"
"20220526_y200_d5mi10s_001_D3D_3DALIGN_predictc003_predict.tif",0.198808739874659,"x"
"20220526_y200_d5mi10s_001_D3D_3DALIGN_predictc003_predict.tif",0.94077130869169,"x"
"20220526_y200_d5mi10s_001_D3D_3DALIGN_predictc003_predict.tif",0.546782934438967,"x"
"20220526_y200_d5mi10s_001_D3D_3DALIGN_predictc003_predict.tif",0.293345616216064,"x"
"20220526_y200_d5mi10s_001_D3D_3DALIGN_predictc004_predict.tif",0.244666639916016,"x"
"20220526_y200_d5mi10s_001_D3D_3DALIGN_predictc004_predict.tif",0.690172909377168,"x"
"20220526_y200_d5mi10s_002_D3D_3DALIGN_predictc003_predict.tif",0.0275138251505648,"x"
"20220526_y200_d5mi10s_002_D3D_3DALIGN_predictc009_predict.tif",0.451491674515962,"x"
"20220526_y200_d5mi10s_003_D3D_3DALIGN_predictc001_predict.tif",0,"x"
"20220526_y200_d5mi10s_003_D3D_3DALIGN_predictc001_predict.tif",0.405519398846157,"x"
"20220526_y200_d5mi10s_003_D3D_3DALIGN_predictc001_predict.tif",0,"x"
"20220526_y200_d5mi10s_003_D3D_3DALIGN_predictc001_predict.tif",0.546082310527462,"x"
"20220526_y200_d5mi10s_003_D3D_3DALIGN_predictc001_predict.tif",1,"x"
"20220526_y200_d5mi10s_003_D3D_3DALIGN_predictc004_predict.tif",0.348861329692254,"x"
"20220526_y200_d5mi10s_003_D3D_3DALIGN_predictc004_predict.tif",0.076619762618222,"x"
"20220526_y200_d5mi10s_003_D3D_3DALIGN_predictc007_predict.tif",0.577876652994487,"x"
"20220526_y200_d5mi10s_003_D3D_3DALIGN_predictc007_predict.tif",0.371971038337656,"x"
"20220526_y200_d5mi10s_003_D3D_3DALIGN_predictc007_predict.tif",0.332482975410391,"x"
"20220526_y200_d5mi10s_003_D3D_3DALIGN_predictc008_predict.tif",0.10022877498264,"x"
